image,label
tamagoyaki_0072.jpeg,1
tamagoyaki_0102.jpeg,1
tamagoyaki_0076.jpeg,1
tamagoyaki_0109.jpeg,1
tamagoyaki_0081.jpeg,1
tamagoyaki_0133.jpeg,1
tamagoyaki_0139.jpeg,1
tamagoyaki_0103.jpeg,1
tamagoyaki_0022.jpeg,1
tamagoyaki_0082.jpeg,1
tamagoyaki_0003.jpeg,1
tamagoyaki_0079.jpeg,1
tamagoyaki_0011.jpeg,1
tamagoyaki_0131.jpeg,1
tamagoyaki_0104.jpeg,1
tamagoyaki_0007.jpeg,1
tamagoyaki_0085.jpeg,1
tamagoyaki_0074.jpeg,1
tamagoyaki_0047.jpeg,1
tamagoyaki_0100.jpeg,1
tamagoyaki_0014.jpeg,1
tamagoyaki_0147.jpeg,1
tamagoyaki_0144.jpeg,1
tamagoyaki_0125.jpeg,1
tamagoyaki_0008.jpeg,1
tamagoyaki_0091.jpeg,1
tamagoyaki_0058.jpeg,1
tamagoyaki_0028.jpeg,1
tamagoyaki_0092.jpeg,1
tamagoyaki_0000.jpeg,1
tamagoyaki_0032.jpeg,1
tamagoyaki_0134.jpeg,1
tamagoyaki_0111.jpeg,1
tamagoyaki_0105.jpeg,1
tamagoyaki_0048.jpeg,1
tamagoyaki_0039.jpeg,1
tamagoyaki_0146.jpeg,1
tamagoyaki_0054.jpeg,1
tamagoyaki_0057.jpeg,1
tamagoyaki_0017.jpeg,1
tamagoyaki_0070.jpeg,1
tamagoyaki_0064.jpeg,1
tamagoyaki_0020.jpeg,1
tamagoyaki_0056.jpeg,1
tamagoyaki_0053.jpeg,1
tamagoyaki_0019.jpeg,1
tamagoyaki_0083.jpeg,1
tamagoyaki_0045.jpeg,1
tamagoyaki_0080.jpeg,1
tamagoyaki_0126.jpeg,1
tamagoyaki_0148.jpeg,1
tamagoyaki_0077.jpeg,1
tamagoyaki_0115.jpeg,1
tamagoyaki_0123.jpeg,1
tamagoyaki_0065.jpeg,1
tamagoyaki_0042.jpeg,1
tamagoyaki_0018.jpeg,1
tamagoyaki_0106.jpeg,1
tamagoyaki_0094.jpeg,1
tamagoyaki_0009.jpeg,1
tamagoyaki_0113.jpeg,1
tamagoyaki_0097.jpeg,1
tamagoyaki_0013.jpeg,1
tamagoyaki_0050.jpeg,1
tamagoyaki_0006.jpeg,1
tamagoyaki_0149.jpeg,1
tamagoyaki_0128.jpeg,1
tamagoyaki_0099.jpeg,1
tamagoyaki_0071.jpeg,1
tamagoyaki_0122.jpeg,1
tamagoyaki_0030.jpeg,1
tamagoyaki_0026.jpeg,1
tamagoyaki_0137.jpeg,1
tamagoyaki_0124.jpeg,1
tamagoyaki_0015.jpeg,1
tamagoyaki_0095.jpeg,1
tamagoyaki_0112.jpeg,1
tamagoyaki_0108.jpeg,1
tamagoyaki_0143.jpeg,1
tamagoyaki_0116.jpeg,1
tamagoyaki_0010.jpeg,1
tamagoyaki_0107.jpeg,1
tamagoyaki_0025.jpeg,1
tamagoyaki_0049.jpeg,1
tamagoyaki_0087.jpeg,1
tamagoyaki_0034.jpeg,1
tamagoyaki_0029.jpeg,1
tamagoyaki_0043.jpeg,1
tamagoyaki_0059.jpeg,1
tamagoyaki_0096.jpeg,1
tamagoyaki_0078.jpeg,1
tamagoyaki_0130.jpeg,1
tamagoyaki_0093.jpeg,1
tamagoyaki_0062.jpeg,1
tamagoyaki_0090.jpeg,1
tamagoyaki_0051.jpeg,1
tamagoyaki_0129.jpeg,1
tamagoyaki_0040.jpeg,1
tamagoyaki_0138.jpeg,1
tamagoyaki_0005.jpeg,1
tamagoyaki_0066.jpeg,1
tamagoyaki_0031.jpeg,1
tamagoyaki_0012.jpeg,1
dashimaki_0044.jpg,0
dashimaki_0033.jpg,0
dashimaki_0072.jpg,0
dashimaki_0054.jpg,0
dashimaki_0003.jpg,0
dashimaki_0032.jpg,0
dashimaki_0015.jpg,0
dashimaki_0039.jpg,0
dashimaki_0069.jpg,0
dashimaki_0050.jpg,0
dashimaki_0024.jpg,0
dashimaki_0051.jpg,0
dashimaki_0007.jpg,0
dashimaki_0004.jpg,0
dashimaki_0059.jpg,0
dashimaki_0020.jpg,0
dashimaki_0092.jpg,0
dashimaki_0086.jpg,0
dashimaki_0002.jpg,0
dashimaki_0075.jpg,0
dashimaki_0094.jpg,0
dashimaki_0047.jpg,0
dashimaki_0095.jpg,0
dashimaki_0093.jpg,0
dashimaki_0084.jpg,0
dashimaki_0009.jpg,0
dashimaki_0085.jpg,0
dashimaki_0063.jpg,0
dashimaki_0018.jpg,0
dashimaki_0056.jpg,0
dashimaki_0078.jpg,0
dashimaki_0023.jpg,0
dashimaki_0012.jpg,0
dashimaki_0064.jpg,0
dashimaki_0016.jpg,0
dashimaki_0014.png,0
dashimaki_0022.jpg,0
dashimaki_0079.jpg,0
dashimaki_0011.jpg,0
dashimaki_0028.jpg,0
dashimaki_0040.jpg,0
dashimaki_0058.jpg,0
dashimaki_0091.jpg,0
dashimaki_0096.jpg,0
dashimaki_0043.jpg,0
dashimaki_0083.jpg,0
dashimaki_0080.jpg,0
dashimaki_0073.jpg,0
dashimaki_0017.jpg,0
dashimaki_0045.jpg,0
dashimaki_0082.jpg,0
dashimaki_0098.jpg,0
dashimaki_0087.jpg,0
dashimaki_0076.png,0
dashimaki_0005.jpg,0
dashimaki_0034.jpg,0
dashimaki_0027.jpg,0
dashimaki_0013.jpg,0
dashimaki_0000.jpg,0
dashimaki_0036.jpg,0
dashimaki_0046.jpg,0
dashimaki_0081.jpg,0
dashimaki_0041.jpg,0
dashimaki_0074.jpg,0
dashimaki_0035.jpg,0
dashimaki_0055.jpg,0
dashimaki_0001.jpg,0
dashimaki_0061.jpg,0
dashimaki_0038.jpg,0
dashimaki_0097.jpg,0
